index,section,a_label,r_label,input_bits,output_bits,ambiguous_output_columns
102,2,A18,R016,0011100110111110110,1011011010011110111,
103,2,A17,R015,1100110001111111110,9911191199991111111,"0,1,5,8,9,10,11"
104,2,A16,R014,1100111100111111110,0101001011011111111,
105,2,A14,R013,1100111100111111110,0000101010001111111,
106,2,A13,R012,1110101111111111110,0000011101001100000,
107,2,A12,R011,1110111011111101110,0100111000011101011,
108,2,A11,R010,1110101111111100100,0111111010111111111,
109,2,A10,R009,1000001011111111001,0010101110101111111,
110,2,A09,R008,0111011111111111100,0001100010010011111,
111,2,A08,R008,0111011111111111100,0001100010010011111,
112,2,A07,R007,1101101101111111110,0111111101011011011,
113,2,A06,R006,1110000010111111011,0111111111111111111,
114,2,A05,R005,0110000111111110100,0111100010010111111,
115,2,A04,R004,1100101000111111110,0111111111111110111,
116,2,A03,R003,0111110000111100111,1000000110011111111,
117,2,A02,R002,1111111101111111111,1010011110000111111,
118,2,A01,R001,1110111011111110101,0101000100101111111,
119,2,A00,R000,1001101100111110110,1110111110111111111,
